,FIPS,State,County,MedianRUCA,madRUCA,PopwtdmedianRUCA,AreawtdmedianRUCA,Population_2010,RUCC_2013,Description,AgeDist,AirPollution,Comorbidities,Demographics,HealthDisparities,HospitalBeds,Mobility,ResidentialDensity
13,4021,AZ,Pinal County,1.0,0.0,0.016,0.002,"375,770",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.6056629582719985,0.5209580838323353,0.3353275054205425,0.6739926548464881,0.4418837010333406,0.6369162560228638,0.5588799306950782,0.8271
14,4025,AZ,Yavapai County,2.0,1.0,0.052000000000000005,0.006999999999999999,"211,033",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.7675615085087122,0.1257485029940119,0.2691026686674087,0.3907022333816536,0.3262637189637372,0.5265638924049573,0.5274533131581647,0.5791
15,4027,AZ,Yuma County,1.0,0.0,0.017,0.0,"195,751",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.579673914473061,0.2994011976047904,0.3374015500724912,0.4913814802479325,0.6254268346225047,0.4963899413235429,0.5401861281391742,0.9796
16,5007,AR,Benton County,1.0,0.0,0.021,0.008,"221,339",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.4612475416970636,0.4431137724550898,0.2694307240753515,0.4685057417149416,0.1730867468158369,0.5164636207938621,0.6363369949641813,0.3136
17,5119,AR,Pulaski County,1.0,0.0,0.011000000000000001,0.003,"382,748",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.4990893333193935,0.4670658682634731,0.3907720264324182,0.6190221214599879,0.2769800615578968,0.3084331798130449,0.6963462560851937,0.631
18,5143,AR,Washington County,1.0,0.0,0.035,0.006,"203,065",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.3995047625702956,0.4131736526946108,0.3102842949863696,0.5101972448661501,0.3763694572327035,0.4225414824915945,0.6455934933684224,0.8825
19,6001,CA,Alameda County,1.0,0.0,0.003,0.001,"1,510,271",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.4612475416970636,0.4431137724550898,0.0815117634227137,0.5803509862045476,0.1639124448347605,0.4538209699417298,0.8065752616514845,0.9159999999999999
20,6007,CA,Butte County,4.0,3.0,0.048,0.006,"220,000",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.5734100391661536,0.3532934131736527,0.2553335583794406,0.4796794973938199,0.4049796780406121,0.460981167888327,0.6316506217342396,0.9484
21,6013,CA,Contra Costa County,1.0,0.0,0.005,0.002,"1,049,025",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.5117241638959221,0.5149700598802395,0.1376988490599678,0.5594789321905729,0.1674380575620418,0.5142615441765016,0.7715544493254937,0.4795
22,6017,CA,El Dorado County,2.0,1.0,0.052000000000000005,0.019,"181,058",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.6133081865139269,0.3772455089820359,0.1425854837094523,0.3704317499922673,0.12080505385201801,0.5448202663393018,0.5939382447872752,0.2209
